WKT;GID;ID_HOJA;TIPO;CONTEXTO;COTA
"MULTIPOINT ((440799.39 4108547.17))";"891170";"102632";TER;CGN;708.86
"MULTIPOINT ((440819.43 4108621.6))";"891171";"102632";TER;CGN;711.44
"MULTIPOINT ((440589.32 4108825.96))";"891172";"102632";TER;CGN;721.22
"MULTIPOINT ((440832.63 4108851.02))";"891173";"102632";TER;CGN;715.47
"MULTIPOINT ((441012.32 4108856.65))";"891174";"102632";TER;CGN;707.68
"MULTIPOINT ((441105.05 4108794.02))";"891175";"102632";TER;CGN;694.73
"MULTIPOINT ((440464.49 4107958.34))";"891176";"102632";TER;CGN;727.32
"MULTIPOINT ((440351.57 4108095.87))";"891177";"102632";TER;CGN;755.56
"MULTIPOINT ((440317.08 4107530.37))";"891178";"102632";TER;CGN;736.73
"MULTIPOINT ((440500.62 4107423.83))";"891179";"102632";TER;CGN;725.84
"MULTIPOINT ((440717.17 4107387.27))";"891180";"102632";TER;CGN;715.14
"MULTIPOINT ((441033.01 4107838.08))";"891181";"102632";TER;CGN;711.41
"MULTIPOINT ((441121.39 4108037.97))";"891182";"102632";TER;CGN;717.54
"MULTIPOINT ((440868.75 4107608.41))";"891183";"102632";TER;CGN;711.44
"MULTIPOINT ((440548.63 4107110.41))";"891184";"102632";TER;CGN;721.93
"MULTIPOINT ((440662.66 4106937.36))";"891185";"102632";TER;CGN;735.98
"MULTIPOINT ((440254.22 4106857.52))";"891186";"102632";TER;CGN;735.66
"MULTIPOINT ((440364.67 4106568.8))";"891187";"102632";TER;CGN;751.87
"MULTIPOINT ((440450.45 4106668.12))";"891188";"102632";TER;CGN;761.62
"MULTIPOINT ((440706.21 4106752.51))";"891189";"102632";TER;CGN;745.18
"MULTIPOINT ((440968.12 4106878.08))";"891190";"102632";TER;CGN;734.54
"MULTIPOINT ((441100.46 4106846.72))";"891191";"102632";TER;CGN;726.36
"MULTIPOINT ((440704.64 4106619.78))";"891192";"102632";TER;CGN;730.90
"MULTIPOINT ((440547.39 4106521.56))";"891193";"102632";TER;CGN;735.69
"MULTIPOINT ((440455.59 4106275.22))";"891194";"102632";TER;CGN;744.57
"MULTIPOINT ((440679.2 4106333.14))";"891195";"102632";TER;CGN;771.88
"MULTIPOINT ((440660.29 4106305.4))";"891196";"102632";TER;CGN;766.43
"MULTIPOINT ((440631.25 4106269.56))";"891197";"102632";TER;CGN;771.10
"MULTIPOINT ((440893.01 4106563.8))";"891198";"102632";TER;CGN;762.06
"MULTIPOINT ((440731.6 4106617.62))";"891199";"102632";TER;CGN;731.10
"MULTIPOINT ((440946.17 4106735.38))";"891200";"102632";TER;CGN;728.81
"MULTIPOINT ((441314.26 4106773.01))";"891201";"102632";TER;CGN;738.50
"MULTIPOINT ((441511.55 4106774.96))";"891202";"102632";TER;CGN;736.96
"MULTIPOINT ((441483.97 4106633.42))";"891203";"102632";TER;CGN;743.66
"MULTIPOINT ((441361.13 4106490.9))";"891204";"102632";TER;CGN;756.51
"MULTIPOINT ((441248.9 4106386.11))";"891205";"102632";TER;CGN;768.84
"MULTIPOINT ((441174.38 4106235.4))";"891206";"102632";TER;CGN;777.36
"MULTIPOINT ((441591.49 4106633.02))";"891207";"102632";TER;CGN;735.45
"MULTIPOINT ((441666.76 4106527.53))";"891208";"102632";TER;CGN;732.90
"MULTIPOINT ((441778.29 4106296.78))";"891209";"102632";TER;CGN;756.30
"MULTIPOINT ((442091.63 4106405.83))";"891210";"102632";TER;CGN;733.49
"MULTIPOINT ((441866.9 4106641.33))";"891211";"102632";TER;CGN;728.59
"MULTIPOINT ((442211.6 4106812.56))";"891212";"102632";TER;CGN;726.13
"MULTIPOINT ((442057.84 4106978.17))";"891213";"102632";TER;CGN;724.95
"MULTIPOINT ((441691.51 4106975.0))";"891214";"102632";TER;CGN;725.24
"MULTIPOINT ((441878.52 4107004.45))";"891215";"102632";TER;CGN;720.99
"MULTIPOINT ((442197.48 4106937.27))";"891216";"102632";TER;CGN;723.44
"MULTIPOINT ((441940.2 4107113.61))";"891217";"102632";TER;CGN;719.54
"MULTIPOINT ((441825.28 4107313.21))";"891218";"102632";TER;CGN;715.83
"MULTIPOINT ((441767.97 4107500.64))";"891219";"102632";TER;CGN;712.48
"MULTIPOINT ((441553.12 4107460.44))";"891220";"102632";TER;CGN;713.17
"MULTIPOINT ((441225.5 4107307.85))";"891221";"102632";TER;CGN;717.76
"MULTIPOINT ((441296.71 4107468.92))";"891222";"102632";TER;CGN;715.68
"MULTIPOINT ((441366.89 4107869.74))";"891223";"102632";TER;CGN;708.34
"MULTIPOINT ((442132.77 4107575.99))";"891224";"102632";TER;CGN;712.80
"MULTIPOINT ((442405.77 4107508.92))";"891225";"102632";TER;CGN;727.14
"MULTIPOINT ((442393.97 4107762.72))";"891226";"102632";TER;CGN;727.66
"MULTIPOINT ((441530.25 4107218.89))";"891227";"102632";TER;CGN;718.20
"MULTIPOINT ((441280.96 4107013.38))";"891228";"102632";TER;CGN;723.02
"MULTIPOINT ((441071.28 4108280.81))";"891229";"102632";TER;CGN;728.27
"MULTIPOINT ((441200.37 4108523.43))";"891230";"102632";TER;CGN;717.05
"MULTIPOINT ((440600.65 4107732.26))";"891231";"102632";TER;CGN;714.69
"MULTIPOINT ((440324.4 4107239.19))";"891232";"102632";TER;CGN;736.18
"MULTIPOINT ((440584.42 4108572.53))";"891233";"102632";TER;CGN;744.13
"MULTIPOINT ((440010.47 4106712.47))";"891234";"102632";TER;CGN;726.50
"MULTIPOINT ((439843.76 4106648.77))";"891235";"102632";TER;CGN;720.20
"MULTIPOINT ((439731.91 4106632.55))";"891236";"102632";TER;CGN;734.73
"MULTIPOINT ((439779.9 4106641.28))";"891237";"102632";TER;CGN;741.96
"MULTIPOINT ((439913.43 4106633.81))";"891238";"102632";TER;CGN;739.62
