WKT;GID;ID_HOJA;TIPO;ESTADO
"POLYGON ((440741.98 4106929.36,440751.37 4106939.61,440759.38 4106932.3,440749.99 4106922.05,440741.98 4106929.36))";"760527";"102632";EDI;USO
"POLYGON ((442883.97 4107230.51,442904.37 4107243.14,442943.94 4107201.85,442927.77 4107190.08,442920.63 4107176.18,442906.42 4107197.42,442883.97 4107230.51))";"760596";"102632";EDI;USO
"POLYGON ((443507.35 4107471.45,443511.09 4107483.67,443519.01 4107481.25,443515.27 4107469.03,443507.35 4107471.45))";"760597";"102632";EDI;USO
"POLYGON ((443489.11 4107447.89,443494.97 4107459.55,443502.39 4107455.82,443496.53 4107444.16,443489.11 4107447.89))";"760598";"102632";EDI;USO
"POLYGON ((443478.06 4107399.09,443483.9 4107410.71,443491.29 4107406.99,443485.45 4107395.37,443478.06 4107399.09))";"760599";"102632";EDI;USO
"POLYGON ((443564.7 4107271.67,443571.25 4107281.31,443578.7 4107276.25,443572.15 4107266.61,443564.7 4107271.67))";"760600";"102632";EDI;USO
"POLYGON ((443543.09 4107298.36,443551.57 4107315.54,443560.25 4107311.26,443551.77 4107294.08,443543.09 4107298.36))";"760601";"102632";EDI;USO
"POLYGON ((443546.85 4107267.41,443532.4 4107271.8,443535.48 4107281.93,443549.93 4107277.54,443546.85 4107267.41))";"760602";"102632";EDI;USO
"POLYGON ((441899.27 4105971.18,441898.11 4105992.11,441906.41 4105992.57,441907.57 4105971.64,441899.27 4105971.18))";"760603";"102632";EDI;USO
"POLYGON ((441937.21 4105962.99,441937.22 4105969.62,441953.97 4105969.58,441953.96 4105962.95,441937.21 4105962.99))";"760604";"102632";EDI;USO
"POLYGON ((441495.95 4106759.82,441500.92 4106761.24,441507.7 4106763.19,441510.77 4106752.47,441503.55 4106750.4,441499.02 4106749.1,441495.95 4106759.82))";"760648";"102632";EDI;USO
"POLYGON ((442318.28 4107524.71,442330.18 4107534.68,442336.83 4107526.81,442324.93 4107516.84,442318.28 4107524.71))";"760649";"102632";EDI;USO
"POLYGON ((442499.1 4106687.29,442511.08 4106695.27,442516.62 4106686.96,442504.64 4106678.98,442499.1 4106687.29))";"760650";"102632";EDI;USO
"POLYGON ((446189.69 4108105.63,446199.0 4108106.85,446199.48 4108104.12,446199.61 4108103.36,446200.56 4108098.04,446201.17 4108094.59,446201.33 4108093.72,446200.45 4108093.56,446195.07 4108092.61,446195.22 4108090.01,446195.33 4108088.14,446190.26 4108087.78,446189.69 4108105.63))";"760651";"102632";EDI;USO
"POLYGON ((443218.35 4107176.96,443208.08 4107166.0,443205.82 4107168.46,443199.53 4107175.13,443210.08 4107185.63,443218.35 4107176.96))";"760656";"102632";EDI;USO
