GID;ID_HOJA;TIPO;ESTADO
"819771";"102632";EDI;USO
"819772";"102632";EDI;USO
"819773";"102632";EDI;USO
"819774";"102632";EDI;USO
"819775";"102632";EDI;USO
"819776";"102632";EDI;USO
"819777";"102632";EDI;USO
"819778";"102632";EDI;USO
"819779";"102632";EDI;USO
"819780";"102632";EDI;USO
"819781";"102632";EDI;USO
"819782";"102632";EDI;USO
"819783";"102632";EDI;USO
"819784";"102632";EDI;USO
"819785";"102632";EDI;USO
"819786";"102632";EDI;USO
"819787";"102632";EDI;USO
"819788";"102632";EDI;USO
"819789";"102632";EDI;USO
"819790";"102632";EDI;USO
"819791";"102632";EDI;USO
"819792";"102632";EDI;USO
"819793";"102632";EDI;USO
"819794";"102632";EDI;USO
"819795";"102632";EDI;USO
"819796";"102632";EDI;USO
"819797";"102632";EDI;USO
"819798";"102632";EDI;USO
"819799";"102632";EDI;USO
"819800";"102632";EDI;USO
"819801";"102632";EDI;USO
"819802";"102632";EDI;USO
"819803";"102632";EDI;USO
"819804";"102632";EDI;USO
"819805";"102632";EDI;USO
"819806";"102632";EDI;USO
"819807";"102632";EDI;USO
"819808";"102632";EDI;USO
"819809";"102632";EDI;USO
"819810";"102632";EDI;USO
"819811";"102632";EDI;USO
"819812";"102632";EDI;USO
"819813";"102632";EDI;USO
"819814";"102632";EDI;USO
"819815";"102632";EDI;USO
"819816";"102632";EDI;USO
"819818";"102632";EDI;USO
"819819";"102632";EDI;USO
"819820";"102632";EDI;USO
"819821";"102632";EDI;USO
"819822";"102632";EDI;USO
"819823";"102632";EDI;USO
"819824";"102632";EDI;USO
"819825";"102632";EDI;USO
"819826";"102632";EDI;USO
"819827";"102632";EDI;USO
"819828";"102632";EDI;USO
"819829";"102632";EDI;USO
"819830";"102632";EDI;USO
"819831";"102632";EDI;USO
"819832";"102632";EDI;USO
"819833";"102632";EDI;USO
"819834";"102632";EDI;USO
"819835";"102632";EDI;USO
"819836";"102632";EDI;USO
"819837";"102632";EDI;USO
"819838";"102632";EDI;USO
"819839";"102632";EDI;USO
"819840";"102632";EDI;USO
"819841";"102632";EDI;USO
"819842";"102632";EDI;USO
"819843";"102632";EDI;USO
"819844";"102632";EDI;USO
"819845";"102632";EDI;USO
"819846";"102632";EDI;USO
"819847";"102632";EDI;USO
"819848";"102632";EDI;USO
"819849";"102632";EDI;USO
"819850";"102632";EDI;USO
"819851";"102632";EDI;USO
"819852";"102632";EDI;USO
"819853";"102632";EDI;USO
"819854";"102632";EDI;USO
"819855";"102632";EDI;USO
"819856";"102632";EDI;USO
"819857";"102632";EDI;USO
"819858";"102632";EDI;USO
"819859";"102632";EDI;USO
"819860";"102632";EDI;USO
"819861";"102632";EDI;USO
"819862";"102632";EDI;USO
"819863";"102632";EDI;USO
"819864";"102632";EDI;USO
"819865";"102632";EDI;USO
"819866";"102632";EDI;USO
"819867";"102632";EDI;USO
"819868";"102632";EDI;USO
"819869";"102632";EDI;USO
"819870";"102632";EDI;USO
"819871";"102632";EDI;USO
"819872";"102632";EDI;USO
"819873";"102632";EDI;USO
"819874";"102632";EDI;USO
"819875";"102632";EDI;USO
"819876";"102632";EDI;USO
"819877";"102632";EDI;USO
"819878";"102632";EDI;USO
"819879";"102632";EDI;USO
"819880";"102632";EDI;USO
"819881";"102632";EDI;USO
"819882";"102632";EDI;USO
"819883";"102632";EDI;USO
"819884";"102632";EDI;USO
"819885";"102632";EDI;USO
"819886";"102632";EDI;USO
"819887";"102632";EDI;USO
"819888";"102632";EDI;USO
"819889";"102632";EDI;USO
"819890";"102632";EDI;USO
"819891";"102632";EDI;USO
"819892";"102632";EDI;USO
"819893";"102632";EDI;USO
"819894";"102632";EDI;USO
"819895";"102632";EDI;USO
"819896";"102632";EDI;USO
"819897";"102632";EDI;USO
"819898";"102632";EDI;USO
"819900";"102632";EDI;USO
"819901";"102632";EDI;USO
"819902";"102632";EDI;USO
"819903";"102632";EDI;USO
"819904";"102632";EDI;USO
"819905";"102632";EDI;USO
"819906";"102632";EDI;USO
"819907";"102632";EDI;USO
"819908";"102632";EDI;USO
"819909";"102632";EDI;USO
"819910";"102632";EDI;USO
"819911";"102632";EDI;USO
"819912";"102632";EDI;USO
"819913";"102632";EDI;USO
"819914";"102632";EDI;USO
"819915";"102632";EDI;USO
"819916";"102632";EDI;USO
"819917";"102632";EDI;USO
"819918";"102632";EDI;USO
"819919";"102632";EDI;USO
"819920";"102632";EDI;USO
"819921";"102632";EDI;USO
"819922";"102632";EDI;USO
"819923";"102632";EDI;USO
"819924";"102632";EDI;USO
"819925";"102632";EDI;USO
"819926";"102632";EDI;USO
"819927";"102632";EDI;USO
"819928";"102632";EDI;USO
"819929";"102632";EDI;USO
"819930";"102632";EDI;USO
"819931";"102632";EDI;USO
"819932";"102632";EDI;USO
"819933";"102632";EDI;USO
"819934";"102632";EDI;USO
"819935";"102632";EDI;USO
"819936";"102632";EDI;USO
"819937";"102632";EDI;USO
"819938";"102632";EDI;USO
"819939";"102632";EDI;USO
"819940";"102632";EDI;USO
"819941";"102632";EDI;USO
"819942";"102632";EDI;USO
"819943";"102632";EDI;USO
"819944";"102632";EDI;USO
"819945";"102632";EDI;USO
"819946";"102632";EDI;USO
"819947";"102632";EDI;USO
"819948";"102632";EDI;USO
"819949";"102632";EDI;USO
"819950";"102632";EDI;USO
"819951";"102632";EDI;USO
"819952";"102632";EDI;USO
"819953";"102632";EDI;USO
"819954";"102632";EDI;USO
"819955";"102632";EDI;USO
"819956";"102632";EDI;USO
"819957";"102632";EDI;USO
"819958";"102632";EDI;USO
"819959";"102632";EDI;USO
"819960";"102632";EDI;USO
"819961";"102632";EDI;USO
"819962";"102632";EDI;USO
"819963";"102632";EDI;USO
"819964";"102632";EDI;USO
"819965";"102632";EDI;USO
"819966";"102632";EDI;USO
"819967";"102632";EDI;USO
"819968";"102632";EDI;USO
"819969";"102632";EDI;USO
"819970";"102632";EDI;USO
"819971";"102632";EDI;USO
"819972";"102632";EDI;USO
"819973";"102632";EDI;USO
"819974";"102632";EDI;USO
"819976";"102632";EDI;USO
"819977";"102632";EDI;USO
"819978";"102632";EDI;USO
"819979";"102632";EDI;USO
"819980";"102632";EDI;USO
"819981";"102632";EDI;USO
"819982";"102632";EDI;USO
"819983";"102632";EDI;USO
"819984";"102632";EDI;USO
